key,place_name,admin_name1,latitude,longitude,accuracy
IN/360001,Parsi Agiyari Chwok,Gujarat,22.0833,70.9167,
IN/360002,Rajkot Bhaktinagar,Gujarat,22.0833,70.9167,
IN/360003,Aji Industrial Estate,Gujarat,22.0833,70.9167,
IN/360004,Rajkot S N Gurukul,Gujarat,22.0833,70.9167,
IN/360005,University Campus,Gujarat,22.0833,70.9167,
IN/360006,Rajkot Bhomeshwar Plot,Gujarat,22.0833,70.9167,
IN/360022,Sanosra Raj,Gujarat,22.0833,70.9167,
IN/360023,Ziana,Gujarat,22.0833,70.9167,
IN/360035,Lodhika,Gujarat,22.1333,70.6333,4
IN/360050,Jasdan,Gujarat,22.0333,71.2,4
IN/360110,Paddhari,Gujarat,22.4333,70.6,4
IN/360360,Jetalsar Jn,Gujarat,21.9429,70.3214,
IN/360370,Fulwadi,Gujarat,21.9429,70.3214,
IN/360375,Navagadh,Gujarat,21.9429,70.3214,
IN/360405,Jam Kandorna,Gujarat,21.8,70.2167,
IN/360410,Darbargadh,Gujarat,21.8,70.2167,
IN/360430,Patanvav,Gujarat,21.8,70.2167,
IN/360452,Chitravad,Gujarat,21.8,70.2167,
IN/360480,Paneli,Gujarat,21.8667,70.15,4
IN/360490,Lathi Plot,Gujarat,21.7333,70.2833,
IN/360530,Darbargadh,Gujarat,21.7,69.6917,
IN/360545,Adityana,Gujarat,21.7,69.6917,
IN/360550,Ranavav,Gujarat,21.6833,69.75,4
IN/360560,Ranavav R S,Gujarat,21.7,69.6917,
IN/360570,Ranakandorna,Gujarat,21.7,69.6917,
IN/360572,Vaddla Rana,Gujarat,21.7,69.6917,
IN/360575,Hanumangufa,Gujarat,21.7,69.6917,
IN/360578,Chhaya,Gujarat,21.7,69.6917,
IN/360583,Bakharla,Gujarat,21.7167,69.6333,4
IN/360590,Bagvadar,Gujarat,21.7,69.6917,
IN/360592,Fatana,Gujarat,21.7,69.6917,
IN/361001,Lal Bunglow,Gujarat,22.3292,69.875,
IN/361002,Jamnagar Bedeshwar,Gujarat,22.3292,69.875,
IN/361003,Jamnagar Aerodrome,Gujarat,22.3292,69.875,
IN/361004,Nagar Estate,Gujarat,22.3292,69.875,
IN/361006,Jamnagar Khodiyar Colony,Gujarat,22.3292,69.875,
IN/361007,Jamnagar Gulabnagar,Gujarat,22.3292,69.875,
IN/361008,Jamnagar Patel Colony,Gujarat,22.3292,69.875,
IN/361009,Jamnagar Udyog,Gujarat,22.3292,69.875,
IN/361010,Vadinar,Gujarat,22.3292,69.875,
IN/361011,Hadiana,Gujarat,22.3292,69.875,
IN/361012,Chela,Gujarat,22.3292,69.875,
