source_page,accession_id,strain_name,is_reference,is_complete,strand,length,gc_percentage,n_percentage,lineage_clade,sequencing_technology,assembly_method,coverage,submission_date,bioproject_id,database_source,gender,age,collection_date,isolation_source,country,region,taxon_name,taxon_id
"https://www.ncbi.nlm.nih.gov/nuccore/MT012098.1","MT012098.1","SARS-CoV-2/human/IND/29/2020",false,true,"positive",29854,38.02,0,,"Illumina","CLC Genomics v. 11.1","N/D","2020-02-01","N/D","GenBank","N/D","N/D","2020-01-27","throat swab","India","Kerala State","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT050491.1","MT050491.1","SARS-CoV-2/human/IND/29_1/2020",false,false,"positive",29850,38.02,1.31,,"N/D","N/D","N/D","2020-02-11","N/D","GenBank","N/D","N/D","2020-01-30","throat swab","India","Kerala State","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT050492.1","MT050492.1","SARS-CoV-2/human/IND/29_2/2020",false,false,"positive",29736,38.23,17.44,,"N/D","N/D","N/D","2020-02-11","N/D","GenBank","N/D","N/D","2020-01-31","throat swab","India","Kerala State","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT050493.1","MT050493.1","SARS-CoV-2/human/IND/166/2020",false,true,"positive",29851,38.01,0,,"N/D","N/D","N/D","2020-02-11","N/D","GenBank","N/D","N/D","2020-01-31","throat swab","India","Kerala State","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT163714.1","MT163714.1","SARS-CoV-2/human/IND/341/2020",false,false,"positive",399,47.62,0,,"Sanger dideoxy sequencing","N/D","N/D","2020-03-04","N/D","GenBank","N/D","N/D","2020-02-29","N/D","India","N/D","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT163715.1","MT163715.1","SARS-CoV-2/human/IND/341/2020",false,false,"positive",264,45.45,0,,"Sanger dideoxy sequencing","N/D","N/D","2020-03-04","N/D","GenBank","N/D","N/D","2020-02-29","N/D","India","N/D","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT358637.1","MT358637.1","SARS-CoV-2/human/IND/GBRC1/2020",false,true,"positive",29903,37.97,0,,"N/D","N/D","N/D","2020-04-16","N/D","GenBank","N/D","N/D","2020-04-05","N/D","India","Rajkot","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT396242.2","MT396242.2","SARS-CoV-2/human/IND/nimh-0182/2020",false,false,"positive",29824,37.98,0.59,,"N/D","N/D","N/D","2020-04-28","N/D","GenBank","N/D","N/D","2020-04-08","nasopharyngeal swabs","India","N/D","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT396243.2","MT396243.2","SARS-CoV-2/human/IND/nimh-0130/2020",false,false,"positive",29839,37.98,0.96,,"N/D","N/D","N/D","2020-04-28","N/D","GenBank","N/D","N/D","2020-04-06","nasopharyngeal swabs","India","N/D","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT396244.2","MT396244.2","SARS-CoV-2/human/IND/nimh-1071/2020",false,false,"positive",29818,38.02,1.84,,"N/D","N/D","N/D","2020-04-28","N/D","GenBank","N/D","N/D","2020-04-14","nasopharyngeal swabs","India","N/D","Severe acute respiratory syndrome coronavirus 2",2697049
