source_page,accession_id,strain_name,is_reference,is_complete,strand,length,gc_percentage,n_percentage,lineage_clade,sequencing_technology,assembly_method,coverage,submission_date,bioproject_id,database_source,gender,age,collection_date,isolation_source,country,region,taxon_name,taxon_id
"https://www.ncbi.nlm.nih.gov/nuccore/MT435079.1","MT435079.1","SARS-CoV-2/human/IND/GBRC2/2020",false,true,"positive",29800,38.01,0.05,,"IonTorrent","CLC v. 12","N/D","2020-05-02","N/D","GenBank","N/D","N/D","2020-04-13","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT435080.1","MT435080.1","SARS-CoV-2/human/IND/GBRC3/2020",false,true,"positive",29800,38.02,0,,"IonTorrent","CLC v. 12","N/D","2020-05-02","N/D","GenBank","N/D","N/D","2020-04-13","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT435081.1","MT435081.1","SARS-CoV-2/human/IND/GBRC4/2020",false,true,"positive",29800,38,0,,"IonTorrent","CLC v. 12","N/D","2020-05-02","N/D","GenBank","N/D","N/D","2020-04-13","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT435082.1","MT435082.1","SARS-CoV-2/human/IND/GBRC5/2020",false,true,"positive",29800,38.02,0.26,,"IonTorrent","CLC v. 12","N/D","2020-05-02","N/D","GenBank","N/D","N/D","2020-04-13","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT435083.1","MT435083.1","SARS-CoV-2/human/IND/GBRC6/2020",false,true,"positive",29800,38.01,0,,"IonTorrent","CLC v. 12","N/D","2020-05-02","N/D","GenBank","N/D","N/D","2020-04-07","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT435084.1","MT435084.1","SARS-CoV-2/human/IND/GBRC7/2020",false,true,"positive",29800,38.02,0.01,,"IonTorrent","CLC v. 12","N/D","2020-05-02","N/D","GenBank","N/D","N/D","2020-04-14","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT435085.1","MT435085.1","SARS-CoV-2/human/IND/GBRC8/2020",false,true,"positive",29800,37.99,0,,"IonTorrent","CLC v. 12","N/D","2020-05-02","N/D","GenBank","N/D","N/D","2020-04-22","N/D","India","Gandhinagar","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT451874.1","MT451874.1","SARS-CoV-2/human/IND/GBRC10/2020",false,true,"positive",29801,38,0.12,,"IonTorrent","CLC Genomics Workbench v. 12",4519,"2020-05-09","N/D","GenBank","N/D","N/D","2020-04-24","N/D","India","Surat","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT451875.1","MT451875.1","SARS-CoV-2/human/IND/GBRC11/2020",false,false,"positive",29801,38.19,3.71,,"IonTorrent","CLC Genomics Workbench v. 12",3787,"2020-05-09","N/D","GenBank","N/D","N/D","2020-04-26","N/D","India","Surat","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT451876.1","MT451876.1","SARS-CoV-2/human/IND/GBRC12/2020",false,true,"positive",29798,38,0,,"IonTorrent","CLC Genomics Workbench v. 12",4927,"2020-05-09","N/D","GenBank","N/D","N/D","2020-04-26","N/D","India","Surat","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT451877.1","MT451877.1","SARS-CoV-2/human/IND/GBRC13/2020",false,true,"positive",29801,38.01,0.64,,"IonTorrent","CLC Genomics Workbench v. 12",3953,"2020-05-09","N/D","GenBank","N/D","N/D","2020-04-26","N/D","India","Surat","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT451878.1","MT451878.1","SARS-CoV-2/human/IND/GBRC14/2020",false,true,"positive",29801,38.01,0.51,,"IonTorrent","CLC Genomics Workbench v. 12",2952,"2020-05-09","N/D","GenBank","N/D","N/D","2020-04-27","N/D","India","Surat","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT451879.1","MT451879.1","SARS-CoV-2/human/IND/GBRC15/2020",false,false,"positive",29801,37.9,5.26,,"IonTorrent","CLC Genomics Workbench v. 12",2114,"2020-05-09","N/D","GenBank","N/D","N/D","2020-04-27","N/D","India","Surat","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT451880.1","MT451880.1","SARS-CoV-2/human/IND/GBRC16/2020",false,true,"positive",29801,38,0,,"IonTorrent","CLC Genomics Workbench v. 12",5994,"2020-05-09","N/D","GenBank","N/D","N/D","2020-04-26","N/D","India","Surat","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT451881.1","MT451881.1","SARS-CoV-2/human/IND/GBRC17a/2020",false,true,"positive",29801,37.99,0,,"IonTorrent","CLC Genomics Workbench v. 12",6715,"2020-05-09","N/D","GenBank","N/D","N/D","2020-04-26","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT451882.1","MT451882.1","SARS-CoV-2/human/IND/GBRC17b/2020",false,true,"positive",29801,37.99,0,,"IonTorrent","CLC Genomics Workbench v. 12",6715,"2020-05-09","N/D","GenBank","N/D","N/D","2020-04-26","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT451883.1","MT451883.1","SARS-CoV-2/human/IND/GBRC18/2020",false,true,"positive",29801,38.03,0.23,,"IonTorrent","CLC Genomics Workbench v. 12",3271,"2020-05-09","N/D","GenBank","N/D","N/D","2020-04-26","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT451884.1","MT451884.1","SARS-CoV-2/human/IND/GBRC19/2020",false,true,"positive",29801,38.02,0,,"IonTorrent","CLC Genomics Workbench v. 12",4805,"2020-05-09","N/D","GenBank","N/D","N/D","2020-04-26","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT451885.1","MT451885.1","SARS-CoV-2/human/IND/GBRC20/2020",false,true,"positive",29801,38.01,0,,"IonTorrent","CLC Genomics Workbench v. 12",7797,"2020-05-09","N/D","GenBank","N/D","N/D","2020-04-26","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT451886.1","MT451886.1","SARS-CoV-2/human/IND/GBRC21/2020",false,true,"positive",29801,38.02,0.17,,"IonTorrent","CLC Genomics Workbench v. 12",7407,"2020-05-09","N/D","GenBank","N/D","N/D","2020-04-26","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT451887.1","MT451887.1","SARS-CoV-2/human/IND/GBRC22/2020",false,true,"positive",29801,38.01,0.1,,"IonTorrent","CLC Genomics Workbench v. 12",4023,"2020-05-09","N/D","GenBank","N/D","N/D","2020-04-26","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT451888.1","MT451888.1","SARS-CoV-2/human/IND/GBRC23/2020",false,true,"positive",29801,38,0,,"IonTorrent","CLC Genomics Workbench v. 12",5633,"2020-05-09","N/D","GenBank","N/D","N/D","2020-04-26","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT451889.1","MT451889.1","SARS-CoV-2/human/IND/GBRC24a/2020",false,true,"positive",29801,38.02,0,,"IonTorrent","CLC Genomics Workbench v. 12",6223,"2020-05-09","N/D","GenBank","N/D","N/D","2020-04-26","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT451890.1","MT451890.1","SARS-CoV-2/human/IND/GBRC24b/2020",false,true,"positive",29801,37.99,0,,"IonTorrent","CLC Genomics Workbench v. 12",6223,"2020-05-09","N/D","GenBank","N/D","N/D","2020-04-26","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT467237.1","MT467237.1","SARS-CoV-2/human/IND/GBRC25/2020",false,true,"positive",29800,38,0,,"IonTorrent","CLC Genomics Workbench v. 12",4311,"2020-05-13","N/D","GenBank","N/D","N/D","2020-04-26","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT467238.1","MT467238.1","SARS-CoV-2/human/IND/GBRC46/2020",false,true,"positive",29800,38.01,0,,"IonTorrent","CLC Genomics Workbench v. 12",4588,"2020-05-13","N/D","GenBank","N/D","N/D","2020-04-29","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT467239.1","MT467239.1","SARS-CoV-2/human/IND/GBRC26/2020",false,true,"positive",29800,38.01,0.11,,"IonTorrent","CLC Genomics Workbench v. 12",4437,"2020-05-13","N/D","GenBank","N/D","N/D","2020-04-26","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT467240.1","MT467240.1","SARS-CoV-2/human/IND/GBRC47/2020",false,true,"positive",29800,38.02,0.09,,"IonTorrent","CLC Genomics Workbench v. 12",5067,"2020-05-13","N/D","GenBank","N/D","N/D","2020-04-30","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT467241.1","MT467241.1","SARS-CoV-2/human/IND/GBRC27/2020",false,true,"positive",29800,38,0,,"IonTorrent","CLC Genomics Workbench v. 12",4583,"2020-05-13","N/D","GenBank","N/D","N/D","2020-04-26","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT467242.1","MT467242.1","SARS-CoV-2/human/IND/GBRC48/2020",false,true,"positive",29800,38.02,0,,"IonTorrent","CLC Genomics Workbench v. 12",2601,"2020-05-13","N/D","GenBank","N/D","N/D","2020-04-29","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT467243.1","MT467243.1","SARS-CoV-2/human/IND/GBRC28/2020",false,true,"positive",29800,37.99,0,,"IonTorrent","CLC Genomics Workbench v. 12",6224,"2020-05-13","N/D","GenBank","N/D","N/D","2020-04-30","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT467244.1","MT467244.1","SARS-CoV-2/human/IND/GBRC29/2020",false,true,"positive",29800,38.02,0,,"IonTorrent","CLC Genomics Workbench v. 12",8447,"2020-05-13","N/D","GenBank","N/D","N/D","2020-04-30","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT467245.1","MT467245.1","SARS-CoV-2/human/IND/GBRC30/2020",false,true,"positive",29800,38,0,,"IonTorrent","CLC Genomics Workbench v. 12",3255,"2020-05-13","N/D","GenBank","N/D","N/D","2020-04-29","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT467246.1","MT467246.1","SARS-CoV-2/human/IND/GBRC40/2020",false,true,"positive",29801,38.01,0,,"IonTorrent","CLC Genomics Workbench v. 12",4739,"2020-05-13","N/D","GenBank","N/D","N/D","2020-04-29","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT467247.1","MT467247.1","SARS-CoV-2/human/IND/GBRC31/2020",false,true,"positive",29800,38.01,0,,"IonTorrent","CLC Genomics Workbench v. 12",4774,"2020-05-13","N/D","GenBank","N/D","N/D","2020-04-29","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT467248.1","MT467248.1","SARS-CoV-2/human/IND/GBRC41/2020",false,true,"positive",29800,38,0,,"IonTorrent","CLC Genomics Workbench v. 12",5264,"2020-05-13","N/D","GenBank","N/D","N/D","2020-04-29","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT467249.1","MT467249.1","SARS-CoV-2/human/IND/GBRC32/2020",false,true,"positive",29800,38.01,0,,"IonTorrent","CLC Genomics Workbench v. 12",3744,"2020-05-13","N/D","GenBank","N/D","N/D","2020-04-29","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT467250.1","MT467250.1","SARS-CoV-2/human/IND/GBRC42/2020",false,true,"positive",29800,38.01,0,,"IonTorrent","CLC Genomics Workbench v. 12",6601,"2020-05-13","N/D","GenBank","N/D","N/D","2020-04-29","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT467251.1","MT467251.1","SARS-CoV-2/human/IND/GBRC43/2020",false,true,"positive",29800,38,0,,"IonTorrent","CLC Genomics Workbench v. 12",5246,"2020-05-13","N/D","GenBank","N/D","N/D","2020-04-29","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT467252.1","MT467252.1","SARS-CoV-2/human/IND/GBRC44/2020",false,true,"positive",29800,38.01,0,,"IonTorrent","CLC Genomics Workbench v. 12",4269,"2020-05-13","N/D","GenBank","N/D","N/D","2020-04-29","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT467253.1","MT467253.1","SARS-CoV-2/human/IND/GBRC45/2020",false,true,"positive",29800,37.99,0,,"IonTorrent","CLC Genomics Workbench v. 12",5568,"2020-05-13","N/D","GenBank","N/D","N/D","2020-04-29","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT467254.1","MT467254.1","SARS-CoV-2/human/IND/GBRC33/2020",false,true,"positive",29800,37.99,0,,"IonTorrent","CLC Genomics Workbench v. 12",6593,"2020-05-14","N/D","GenBank","N/D","N/D","2020-04-29","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT467255.1","MT467255.1","SARS-CoV-2/human/IND/GBRC49/2020",false,true,"positive",29800,38,0,,"IonTorrent","CLC Genomics Workbench v. 12",4955,"2020-05-14","N/D","GenBank","N/D","N/D","2020-04-30","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT467256.1","MT467256.1","SARS-CoV-2/human/IND/GBRC34/2020",false,true,"positive",29800,37.99,0,,"IonTorrent","CLC Genomics Workbench v. 12",17932,"2020-05-14","N/D","GenBank","N/D","N/D","2020-04-29","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT467257.1","MT467257.1","SARS-CoV-2/human/IND/GBRC50/2020",false,true,"positive",29800,38.02,0,,"IonTorrent","CLC Genomics Workbench v. 12",21230,"2020-05-14","N/D","GenBank","N/D","N/D","2020-04-30","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT467258.1","MT467258.1","SARS-CoV-2/human/IND/GBRC35/2020",false,true,"positive",29800,37.99,0,,"IonTorrent","CLC Genomics Workbench v. 12",8519,"2020-05-14","N/D","GenBank","N/D","N/D","2020-04-29","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT481895.1","MT481895.1","SARS-CoV-2/human/IND/GBRC65a/2020",false,true,"positive",29800,37.99,0,,"IonTorrent","CLC Genomics Workbench v. 12",1710,"2020-05-18","N/D","GenBank","N/D","N/D","2020-05-03","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT481896.1","MT481896.1","SARS-CoV-2/human/IND/GBRC65b/2020",false,true,"positive",29800,38,0,,"IonTorrent","CLC Genomics Workbench v. 12",1710,"2020-05-18","N/D","GenBank","N/D","N/D","2020-05-03","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT481900.1","MT481900.1","SARS-CoV-2/human/IND/GBRC86/2020",false,true,"positive",29800,38.02,0,,"IonTorrent","CLC Genomics Workbench v. 12",4337,"2020-05-18","N/D","GenBank","N/D","N/D","2020-04-28","N/D","India","Gandhinagar","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT481904.1","MT481904.1","SARS-CoV-2/human/IND/GBRC89/2020",false,true,"positive",29800,38.02,0,,"IonTorrent","CLC Genomics Workbench v. 12",5603,"2020-05-18","N/D","GenBank","N/D","N/D","2020-04-25","N/D","India","Gandhinagar","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT481905.1","MT481905.1","SARS-CoV-2/human/IND/GBRC90/2020",false,true,"positive",29800,38,0,,"IonTorrent","CLC Genomics Workbench v. 12",5315,"2020-05-18","N/D","GenBank","N/D","N/D","2020-05-02","N/D","India","Gandhinagar","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT481906.1","MT481906.1","SARS-CoV-2/human/IND/GBRC91/2020",false,true,"positive",29800,38,0,,"IonTorrent","CLC Genomics Workbench v. 12",5328,"2020-05-18","N/D","GenBank","N/D","N/D","2020-04-27","N/D","India","Gandhinagar","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT481907.1","MT481907.1","SARS-CoV-2/human/IND/GBRC92/2020",false,true,"positive",29800,38.02,0,,"IonTorrent","CLC Genomics Workbench v. 12",4637,"2020-05-18","N/D","GenBank","N/D","N/D","2020-04-26","N/D","India","Gandhinagar","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT496972.1","MT496972.1","SARS-CoV-2/human/IND/GBRC36/2020",false,true,"positive",29800,38,0,,"IonTorrent","CLC Genomics Workbench v. 12",4589,"2020-05-16","N/D","GenBank","N/D","N/D","2020-04-29","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT496973.1","MT496973.1","SARS-CoV-2/human/IND/GBRC37/2020",false,true,"positive",29800,38.01,0,,"IonTorrent","CLC Genomics Workbench v. 12",3259,"2020-05-16","N/D","GenBank","N/D","N/D","2020-04-29","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT496974.1","MT496974.1","SARS-CoV-2/human/IND/GBRC38/2020",false,true,"positive",29800,37.99,0,,"IonTorrent","CLC Genomics Workbench v. 12",7153,"2020-05-16","N/D","GenBank","N/D","N/D","2020-04-29","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT496975.1","MT496975.1","SARS-CoV-2/human/IND/GBRC39/2020",false,true,"positive",29800,38.01,0,,"IonTorrent","CLC Genomics Workbench v. 12",5269,"2020-05-16","N/D","GenBank","N/D","N/D","2020-04-29","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT496976.1","MT496976.1","SARS-CoV-2/human/IND/GBRC56a/2020",false,true,"positive",29800,38,0,,"IonTorrent","CLC Genomics Workbench v. 12",4614,"2020-05-16","N/D","GenBank","N/D","N/D","2020-05-03","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT496977.1","MT496977.1","SARS-CoV-2/human/IND/GBRC56b/2020",false,true,"positive",29800,38.02,0,,"IonTorrent","CLC Genomics Workbench v. 12",4614,"2020-05-16","N/D","GenBank","N/D","N/D","2020-05-03","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT496978.1","MT496978.1","SARS-CoV-2/human/IND/GBRC57/2020",false,false,"positive",29796,38.03,0.19,,"IonTorrent","CLC Genomics Workbench v. 12",4166,"2020-05-16","N/D","GenBank","N/D","N/D","2020-05-03","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT496979.1","MT496979.1","SARS-CoV-2/human/IND/GBRC66/2020",false,true,"positive",29796,38,0.07,,"IonTorrent","CLC Genomics Workbench v. 12",3797,"2020-05-16","N/D","GenBank","N/D","N/D","2020-05-05","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT496980.1","MT496980.1","SARS-CoV-2/human/IND/GBRC58/2020",false,true,"positive",29800,37.99,0,,"IonTorrent","CLC Genomics Workbench v. 12",4229,"2020-05-16","N/D","GenBank","N/D","N/D","2020-05-03","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT496981.1","MT496981.1","SARS-CoV-2/human/IND/GBRC59/2020",false,true,"positive",29816,38.02,0.32,,"IonTorrent","CLC Genomics Workbench v. 12",3414,"2020-05-16","N/D","GenBank","N/D","N/D","2020-05-03","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT496982.1","MT496982.1","SARS-CoV-2/human/IND/GBRC60/2020",false,true,"positive",29800,37.99,0,,"IonTorrent","CLC Genomics Workbench v. 12",3755,"2020-05-16","N/D","GenBank","N/D","N/D","2020-05-03","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT496983.1","MT496983.1","SARS-CoV-2/human/IND/GBRC67a/2020",false,true,"positive",29800,37.99,0,,"IonTorrent","CLC Genomics Workbench v. 12",4991,"2020-05-16","N/D","GenBank","N/D","N/D","2020-05-05","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT496984.1","MT496984.1","SARS-CoV-2/human/IND/GBRC61/2020",false,true,"positive",29794,38,0,,"IonTorrent","CLC Genomics Workbench v. 12",3343,"2020-05-16","N/D","GenBank","N/D","N/D","2020-05-03","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT496985.1","MT496985.1","SARS-CoV-2/human/IND/GBRC67b/2020",false,true,"positive",29800,38,0,,"IonTorrent","CLC Genomics Workbench v. 12",4991,"2020-05-16","N/D","GenBank","N/D","N/D","2020-05-05","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT496986.1","MT496986.1","SARS-CoV-2/human/IND/GBRC68/2020",false,true,"positive",29800,37.99,0,,"IonTorrent","CLC Genomics Workbench v. 12",5326,"2020-05-16","N/D","GenBank","N/D","N/D","2020-05-05","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT496987.1","MT496987.1","SARS-CoV-2/human/IND/GBRC69/2020",false,true,"positive",29800,37.99,0,,"IonTorrent","CLC Genomics Workbench v. 12",3672,"2020-05-16","N/D","GenBank","N/D","N/D","2020-05-04","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT496988.1","MT496988.1","SARS-CoV-2/human/IND/GBRC62/2020",false,true,"positive",29800,38,0,,"IonTorrent","CLC Genomics Workbench v. 12",4262,"2020-05-16","N/D","GenBank","N/D","N/D","2020-05-03","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT496989.1","MT496989.1","SARS-CoV-2/human/IND/GBRC63/2020",false,true,"positive",29800,38.01,0,,"IonTorrent","CLC Genomics Workbench v. 12",5730,"2020-05-16","N/D","GenBank","N/D","N/D","2020-05-03","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT496990.1","MT496990.1","SARS-CoV-2/human/IND/GBRC70/2020",false,true,"positive",29800,38.02,0,,"IonTorrent","CLC Genomics Workbench v. 12",3417,"2020-05-16","N/D","GenBank","N/D","N/D","2020-04-29","N/D","India","Gandhinagar","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT496991.1","MT496991.1","SARS-CoV-2/human/IND/GBRC71/2020",false,true,"positive",29800,37.98,0,,"IonTorrent","CLC Genomics Workbench v. 12",3453,"2020-05-16","N/D","GenBank","N/D","N/D","2020-04-27","N/D","India","Gandhinagar","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT496992.1","MT496992.1","SARS-CoV-2/human/IND/GBRC64/2020",false,true,"positive",29800,37.99,0,,"IonTorrent","CLC Genomics Workbench v. 12",3994,"2020-05-16","N/D","GenBank","N/D","N/D","2020-05-03","N/D","India","Ahmedabad","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT496993.1","MT496993.1","SARS-CoV-2/human/IND/GBRC72a/2020",false,true,"positive",29800,37.99,0,,"IonTorrent","CLC Genomics Workbench v. 12",4223,"2020-05-16","N/D","GenBank","N/D","N/D","2020-04-29","N/D","India","Gandhinagar","Severe acute respiratory syndrome coronavirus 2",2697049
"https://www.ncbi.nlm.nih.gov/nuccore/MT496994.1","MT496994.1","SARS-CoV-2/human/IND/GBRC72b/2020",false,true,"positive",29800,37.99,0,,"IonTorrent","CLC Genomics Workbench v. 12",4223,"2020-05-16","N/D","GenBank","N/D","N/D","2020-04-29","N/D","India","Gandhinagar","Severe acute respiratory syndrome coronavirus 2",2697049
